embedding 4635922 of 4635922 from row 0
  25600/4635922  346 docs/s  222 min left
  2653600/4635922  276 docs/s  120 min left
  2679200/4635922  277 docs/s  118 min left
  2704800/4635922  277 docs/s  116 min left
  2730400/4635922  278 docs/s  114 min left
  2750000/4635922  278 docs/s  113 min left
  2775600/4635922  279 docs/s  111 min left
  2801200/4635922  279 docs/s  109 min left
  2826800/4635922  280 docs/s  108 min left
  2852400/4635922  280 docs/s  106 min left
  2878000/4635922  281 docs/s  104 min left
  2903600/4635922  281 docs/s  103 min left
  2929200/4635922  282 docs/s  101 min left
  2954800/4635922  282 docs/s  99 min left
  2980400/4635922  283 docs/s  98 min left
  3000000/4635922  283 docs/s  96 min left
  3025600/4635922  284 docs/s  95 min left
  3051200/4635922  284 docs/s  93 min left
  3076800/4635922  285 docs/s  91 min left
  3102400/4635922  285 docs/s  90 min left
  3128000/4635922  285 docs/s  88 min left
  3153600/4635922  286 docs/s  86 min left
  3179200/4635922  286 docs/s  85 min left
  3204800/4635922  287 docs/s  83 min left
  3230400/4635922  287 docs/s  82 min left
  3250000/4635922  287 docs/s  80 min left
  3275600/4635922  288 docs/s  79 min left
  3301200/4635922  288 docs/s  77 min left
  3326800/4635922  289 docs/s  76 min left
  3352400/4635922  289 docs/s  74 min left
  3378000/4635922  289 docs/s  72 min left
  3403600/4635922  290 docs/s  71 min left
  3429200/4635922  290 docs/s  69 min left
  3454800/4635922  291 docs/s  68 min left
  3480400/4635922  291 docs/s  66 min left
  3500000/4635922  291 docs/s  65 min left
  3525600/4635922  292 docs/s  63 min left
  3551200/4635922  292 docs/s  62 min left
  3576800/4635922  292 docs/s  60 min left
  3602400/4635922  293 docs/s  59 min left
  3628000/4635922  293 docs/s  57 min left
  3653600/4635922  293 docs/s  56 min left
  3679200/4635922  294 docs/s  54 min left
  3704800/4635922  294 docs/s  53 min left
  3730400/4635922  294 docs/s  51 min left
  3750000/4635922  295 docs/s  50 min left
  3775600/4635922  295 docs/s  49 min left
  3801200/4635922  295 docs/s  47 min left
  3826800/4635922  296 docs/s  46 min left
  3852400/4635922  296 docs/s  44 min left
  3878000/4635922  296 docs/s  43 min left
  3903600/4635922  296 docs/s  41 min left
  3929200/4635922  297 docs/s  40 min left
  3954800/4635922  297 docs/s  38 min left
  3980400/4635922  297 docs/s  37 min left
  4000000/4635922  297 docs/s  36 min left
  4025600/4635922  298 docs/s  34 min left
  4051200/4635922  298 docs/s  33 min left
  4076800/4635922  298 docs/s  31 min left
  4102400/4635922  299 docs/s  30 min left
  4128000/4635922  299 docs/s  28 min left
  4153600/4635922  299 docs/s  27 min left
  4179200/4635922  299 docs/s  25 min left
  4204800/4635922  300 docs/s  24 min left
  4230400/4635922  300 docs/s  23 min left
  4250000/4635922  300 docs/s  21 min left
  4275600/4635922  300 docs/s  20 min left
  4301200/4635922  300 docs/s  19 min left
  4326800/4635922  301 docs/s  17 min left
  4352400/4635922  301 docs/s  16 min left
  4378000/4635922  301 docs/s  14 min left
  4403600/4635922  301 docs/s  13 min left
  4429200/4635922  302 docs/s  11 min left
  4454800/4635922  302 docs/s  10 min left
  4480400/4635922  302 docs/s  9 min left
  4500000/4635922  302 docs/s  7 min left
  4525600/4635922  302 docs/s  6 min left
  4551200/4635922  303 docs/s  5 min left
  4576800/4635922  303 docs/s  3 min left
  4602400/4635922  303 docs/s  2 min left
  4628000/4635922  303 docs/s  0 min left
  4635922/4635922  303 docs/s  0 min left
  4635922/4635922  303 docs/s  0 min left
